Rnd,number,Player,TFR_Points,Team,Opp,Minutes,Points,Tries,Seven_point_tries,Conversions_attempted,Conversions_successful,PK_attempted,PK_successful,Kicking_success_pct,Drop_kicks_attempted,Successful_drop_kicks,Carries,Metres_run,Metres_gained,Avg_metres_gained,Clean_breaks,Ball_carry_into_breakdown,Offloads,Defenders_beaten,Total_passes,Successful_passes,Pass_accuracy_pct,First_and_second_breakdown_arrivals,Third_breakdown_arrivals,Tackles_attempted,Tackles_made,Tackles_missed,Tackles_made_pct,Dominant_tackles,Offloads_in_tackle,Defensive_turnovers_won,Defensive_breakdown_arrivals,First_defending_breakdown_arrivals,Breakdown_turnovers_won,Turnovers_conceded,General_play_kicks,General_play_kick_errors,Penalties_conceded,Free_kicks_conceded,Yellow_cards,Red_cards,Try_assists,Def_bonus,Off_bonus
2,13,Cael Hodgson,2.4,Anthem RC,NOLA,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,2,0,10,8,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
2,13,Divan Rossouw,13.7,Seattle Seawolves,MIA,83,0,0,0,0,0,0,0,0,0,0,10,128,111,11,2,10,0,1,3,3,100,7,1,7,7,0,0,0,0,0,3,1,0,1,4,0,1,0,0,0,0,0,0
2,13,James Stokes,5.2,RFC Los Angeles,HOU,78,0,0,0,0,0,0,0,0,0,0,5,44,41,8,0,5,0,1,0,0,0,5,2,7,7,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0
2,13,John Powers,2.9,Old Glory DC,NEFJ,62,0,0,0,0,0,0,0,0,0,0,4,25,25,6,0,4,0,0,2,0,0,4,1,6,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,13,JP Du Plessis,7.9,NOLA Gold,ARC,55,5,1,0,0,0,0,0,0,0,0,7,42,34,5,0,4,3,1,2,1,50,3,1,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0,0,0,0,0,0
2,13,Marcel Brache,7.9,San Diego Legion,DAL,84,5,1,0,0,0,0,0,0,0,0,2,14,10,5,0,0,0,0,7,6,86,13,1,12,8,4,0,0,2,0,3,3,0,3,0,0,1,0,0,0,0,0,0
2,13,Mark O'Keeffe,3.9,Chicago Hounds,UTAH,56,0,0,0,0,0,0,0,0,0,0,6,60,36,6,0,5,2,1,2,2,100,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,13,Mitch Richardson,3,Dallas Jackals,SDL,84,0,0,0,0,0,0,0,0,0,0,2,19,17,8,0,1,0,0,3,3,100,9,2,9,6,3,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0
2,13,Tautalatasi Tasi,7.7,Houston Sabercats,LA,78,0,0,0,0,0,0,0,0,0,0,5,58,55,11,1,4,1,2,1,0,0,9,1,9,9,0,0,0,0,0,5,2,0,2,0,0,1,0,0,0,0,0,0
2,13,Tomas Inciarte,7.2,Miami Sharks,SEA,83,0,0,0,0,0,0,0,0,0,0,4,32,29,7,0,3,1,0,1,1,100,4,1,12,11,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
